EmpleadoID,Nombre,Área,Puesto,Turno,FechaIngreso
1,Empleado_1,Logística,Técnico,Tarde,2018-04-30
2,Empleado_2,Administración,Operario,Tarde,2015-01-17
3,Empleado_3,Producción,Técnico,Tarde,2018-05-28
4,Empleado_4,Administración,Supervisor,Noche,2021-01-14
5,Empleado_5,Administración,Operario,Noche,2021-11-29
6,Empleado_6,Mantenimiento,Analista,Mañana,2017-12-05
7,Empleado_7,Producción,Ingeniero,Mañana,2022-01-09
8,Empleado_8,Producción,Técnico,Noche,2020-11-16
9,Empleado_9,Producción,Ingeniero,Tarde,2019-11-04
10,Empleado_10,Administración,Ingeniero,Mañana,2017-11-26
11,Empleado_11,Logística,Operario,Noche,2021-05-16
12,Empleado_12,Producción,Ingeniero,Noche,2021-12-19
13,Empleado_13,Administración,Analista,Noche,2015-10-29
14,Empleado_14,Mantenimiento,Ingeniero,Tarde,2015-06-30
15,Empleado_15,Logística,Operario,Noche,2016-08-29
16,Empleado_16,Mantenimiento,Analista,Noche,2016-11-30
17,Empleado_17,Logística,Supervisor,Noche,2017-09-19
18,Empleado_18,Administración,Ingeniero,Noche,2018-02-13
19,Empleado_19,Perforación,Operario,Mañana,2015-07-10
20,Empleado_20,Logística,Supervisor,Mañana,2021-04-19
21,Empleado_21,Mantenimiento,Supervisor,Noche,2017-09-07
22,Empleado_22,Administración,Técnico,Tarde,2020-06-29
23,Empleado_23,Logística,Analista,Mañana,2018-03-30
24,Empleado_24,Perforación,Ingeniero,Noche,2015-05-08
25,Empleado_25,Perforación,Operario,Mañana,2020-08-27
26,Empleado_26,Producción,Técnico,Mañana,2019-12-22
27,Empleado_27,Producción,Analista,Tarde,2019-10-25
28,Empleado_28,Mantenimiento,Técnico,Noche,2022-02-26
29,Empleado_29,Logística,Analista,Noche,2016-07-23
30,Empleado_30,Logística,Analista,Tarde,2018-09-08
31,Empleado_31,Producción,Ingeniero,Tarde,2020-03-10
32,Empleado_32,Logística,Analista,Noche,2022-06-26
33,Empleado_33,Logística,Técnico,Noche,2016-09-17
34,Empleado_34,Perforación,Analista,Tarde,2022-12-11
35,Empleado_35,Producción,Ingeniero,Mañana,2019-08-14
36,Empleado_36,Administración,Ingeniero,Mañana,2015-06-04
37,Empleado_37,Producción,Técnico,Tarde,2021-12-12
38,Empleado_38,Administración,Supervisor,Mañana,2018-11-10
39,Empleado_39,Perforación,Supervisor,Tarde,2017-02-23
40,Empleado_40,Mantenimiento,Analista,Mañana,2015-09-03
41,Empleado_41,Logística,Operario,Mañana,2019-02-09
42,Empleado_42,Perforación,Analista,Noche,2019-09-02
43,Empleado_43,Logística,Técnico,Noche,2022-09-07
44,Empleado_44,Mantenimiento,Técnico,Mañana,2016-06-21
45,Empleado_45,Mantenimiento,Técnico,Mañana,2020-03-05
46,Empleado_46,Perforación,Técnico,Noche,2020-01-16
47,Empleado_47,Mantenimiento,Técnico,Noche,2017-07-09
48,Empleado_48,Administración,Ingeniero,Noche,2021-09-21
49,Empleado_49,Mantenimiento,Supervisor,Tarde,2016-06-08
50,Empleado_50,Logística,Técnico,Mañana,2022-11-15
51,Empleado_51,Logística,Operario,Noche,2019-03-10
52,Empleado_52,Logística,Operario,Mañana,2015-02-05
53,Empleado_53,Logística,Operario,Tarde,2016-11-15
54,Empleado_54,Administración,Operario,Tarde,2015-01-20
55,Empleado_55,Producción,Ingeniero,Noche,2021-06-26
56,Empleado_56,Perforación,Operario,Tarde,2022-01-03
57,Empleado_57,Logística,Técnico,Mañana,2016-02-04
58,Empleado_58,Mantenimiento,Analista,Noche,2022-05-25
59,Empleado_59,Logística,Operario,Mañana,2017-08-29
60,Empleado_60,Mantenimiento,Ingeniero,Mañana,2020-03-21
61,Empleado_61,Mantenimiento,Ingeniero,Tarde,2021-11-23
62,Empleado_62,Logística,Operario,Tarde,2018-03-12
63,Empleado_63,Administración,Analista,Tarde,2018-01-20
64,Empleado_64,Mantenimiento,Operario,Tarde,2017-04-13
65,Empleado_65,Mantenimiento,Ingeniero,Tarde,2019-12-29
66,Empleado_66,Logística,Supervisor,Noche,2022-08-06
67,Empleado_67,Mantenimiento,Técnico,Mañana,2020-06-05
68,Empleado_68,Mantenimiento,Ingeniero,Mañana,2017-05-03
69,Empleado_69,Logística,Operario,Mañana,2015-02-20
70,Empleado_70,Logística,Técnico,Mañana,2016-07-28
71,Empleado_71,Perforación,Operario,Tarde,2018-02-22
72,Empleado_72,Administración,Operario,Mañana,2021-01-06
73,Empleado_73,Administración,Supervisor,Noche,2021-06-19
74,Empleado_74,Mantenimiento,Técnico,Noche,2022-03-02
75,Empleado_75,Administración,Técnico,Mañana,2021-06-10
76,Empleado_76,Mantenimiento,Supervisor,Mañana,2019-09-12
77,Empleado_77,Perforación,Ingeniero,Noche,2016-11-12
78,Empleado_78,Logística,Operario,Noche,2017-04-17
79,Empleado_79,Logística,Analista,Tarde,2017-12-13
80,Empleado_80,Logística,Operario,Noche,2021-10-27
81,Empleado_81,Administración,Operario,Tarde,2022-04-14
82,Empleado_82,Perforación,Ingeniero,Tarde,2021-04-30
83,Empleado_83,Administración,Operario,Tarde,2019-05-15
84,Empleado_84,Administración,Supervisor,Tarde,2015-01-05
85,Empleado_85,Perforación,Supervisor,Tarde,2018-01-31
86,Empleado_86,Perforación,Técnico,Mañana,2018-05-04
87,Empleado_87,Perforación,Analista,Noche,2017-02-12
88,Empleado_88,Perforación,Operario,Tarde,2017-05-26
89,Empleado_89,Logística,Operario,Noche,2017-09-18
90,Empleado_90,Producción,Ingeniero,Noche,2015-02-16
91,Empleado_91,Producción,Supervisor,Tarde,2022-12-24
92,Empleado_92,Perforación,Analista,Mañana,2022-11-10
93,Empleado_93,Producción,Técnico,Tarde,2022-05-27
94,Empleado_94,Producción,Supervisor,Mañana,2015-09-26
95,Empleado_95,Perforación,Técnico,Noche,2016-01-05
96,Empleado_96,Producción,Ingeniero,Mañana,2016-09-27
97,Empleado_97,Administración,Ingeniero,Mañana,2018-02-03
98,Empleado_98,Mantenimiento,Operario,Mañana,2019-08-21
99,Empleado_99,Mantenimiento,Analista,Noche,2019-08-10
100,Empleado_100,Perforación,Técnico,Noche,2016-10-18
